bit_value	bit_name	test
1	Blessing
2	Luck
4	Improved Precision
8	Air Shield
16	Barkskin
32	Limited Regeneration
64	Toughened Armor
128	Extra Strength
256	Gone Berserk
512	Pain Transfer
1024	Fire Resistance +5
2048	Shock Resistance +5
4096	Cold Resistance +5
8192	Cold Aura
16384	Heat Aura
32768	Courage
65536	Stoneskin
131072	Flight
262144	Quickness
524288	Armor Piercing Weapons
1048576	Astral Weapons
2097152	Reanimation
4194304	Holy Vengeance
8388608	Flaming Arrows
16777216	Poison Resistance +10
33554432	Prophet (persists after battle)
67108864	Magic Resistance
134217728	Etherealness
268435456	Ironskin
536870912	Communion Master
1073741824	Communion Slave
2147483648	Enlargement
4294967296	? AI flag "dedicated researcher" (persists after battle)
8589934592	? AI flag "dedicated templer" (persists after battle)
17179869184	? AI flag "dedicated searcher" (persists after battle)
34359738368	Leave communion if over 100 fatigue
68719476736	Slashing Resistance
137438953472	Bludgeoning Resistance
274877906944	Piercing Resistance
549755813888	Protective Force 20
1099511627776	Limited Enlargement
2199023255552	Liquid Body
4398046511104	? AI "dedicated ritualist" flag (persists after battle)
8796093022208	<Unknown>
17592186044416	? If Soul Butcher, make death gems
35184372088832	? Flag that causes gladiators to leave (persists after battle)
70368744177664	<Unknown>
140737488355328	<Unknown>
281474976710656	<Unknown>
562949953421312	<Unknown>
1125899906842624	<Unknown>
2251799813685248	<Unknown>
4503599627370496	<Unknown>
9007199254740992	<Unknown>
18014398509481984	<Unknown>
36028797018963968	<Unknown>
72057594037927936	<Unknown>
144115188075855872	<Unknown>
288230376151711744	<Unknown>
576460752303423488	<Unknown>
1152921504606846976	<Unknown>
2305843009213693952	<Unknown>
4611686018427387904	<Unknown>
